Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
April 30 2022,Columbia,WA,Passenger,7,0,7,2442,2449,0.29
February 28 2022,Benton,WA,Truck,0,0,0,43614,43614,0
August 31 2022,Douglas,WA,Truck,1,0,1,12753,12754,0.01
January 31 2022,Okanogan,WA,Passenger,69,47,116,26498,26614,0.44
February 28 2022,Spokane,WA,Passenger,1388,782,2170,325641,327811,0.66
January 31 2023,Wahkiakum,WA,Truck,1,0,1,1792,1793,0.06
January 31 2022,Columbia,WA,Passenger,6,2,8,2448,2456,0.33
September 30 2022,Clark,WA,Passenger,4473,1883,6356,314933,321289,1.98
November 30 2023,Skamania,WA,Passenger,136,53,189,8031,8220,2.3
September 30 2023,Lincoln,WA,Passenger,21,22,43,7584,7627,0.56
March 31 2023,Kitsap,WA,Truck,57,0,57,52539,52596,0.11
September 30 2022,Cowlitz,WA,Passenger,367,180,547,70244,70791,0.77
June 30 2022,Mason,WA,Passenger,309,174,483,47270,47753,1.01
September 30 2022,Island,WA,Passenger,871,380,1251,61346,62597,2
May 31 2023,Grays Harbor,WA,Passenger,291,182,473,48289,48762,0.97
October 31 2023,Walla Walla,WA,Truck,7,0,7,13709,13716,0.05
October 31 2023,Whitman,WA,Truck,5,0,5,8655,8660,0.06
April 30 2023,Walla Walla,WA,Truck,5,0,5,13732,13737,0.04
January 31 2022,Ferry,WA,Truck,0,0,0,3579,3579,0
August 31 2023,Grays Harbor,WA,Passenger,332,201,533,48112,48645,1.1
August 31 2022,Garfield,WA,Passenger,1,3,4,1309,1313,0.3
February 28 2022,Walla Walla,WA,Truck,0,0,0,14066,14066,0
January 31 2022,Clallam,WA,Passenger,392,241,633,50195,50828,1.25
July 31 2023,Clark,WA,Passenger,6054,2374,8428,313137,321565,2.62
June 30 2023,Lincoln,WA,Passenger,17,19,36,7646,7682,0.47
December 31 2023,Whatcom,WA,Truck,87,0,87,42506,42593,0.2
March 31 2023,Garfield,WA,Truck,0,0,0,974,974,0
March 31 2023,Benton,WA,Passenger,1038,533,1571,135483,137054,1.15
September 30 2023,Walla Walla,WA,Passenger,246,122,368,35409,35777,1.03
June 30 2022,Clallam,WA,Truck,3,0,3,21910,21913,0.01
February 28 2022,Whatcom,WA,Passenger,1691,684,2375,149132,151507,1.57
July 31 2023,Skagit,WA,Passenger,1149,421,1570,88643,90213,1.74
September 30 2022,Lincoln,WA,Passenger,10,16,26,7708,7734,0.34
February 28 2023,Mason,WA,Passenger,392,196,588,46575,47163,1.25
November 30 2023,Lewis,WA,Truck,10,0,10,25722,25732,0.04
February 28 2022,Pend Oreille,WA,Passenger,17,9,26,9061,9087,0.29
October 31 2022,Klickitat,WA,Passenger,113,51,164,15057,15221,1.08
June 30 2023,Stevens,WA,Truck,1,0,1,18699,18700,0.01
March 31 2023,Walla Walla,WA,Passenger,209,111,320,35479,35799,0.89
January 31 2023,Island,WA,Passenger,952,399,1351,61121,62472,2.16
April 30 2023,Franklin,WA,Passenger,299,133,432,61881,62313,0.69
June 30 2023,Grays Harbor,WA,Truck,7,0,7,20950,20957,0.03
August 31 2023,Asotin,WA,Truck,0,0,0,6630,6630,0
January 31 2023,Kitsap,WA,Truck,40,0,40,52783,52823,0.08
April 30 2023,Benton,WA,Passenger,1088,548,1636,135385,137021,1.19
May 31 2023,Skamania,WA,Truck,1,0,1,3844,3845,0.03
April 30 2023,Pacific,WA,Truck,3,0,3,7810,7813,0.04
October 31 2023,Jefferson,WA,Truck,13,0,13,9268,9281,0.14
September 30 2022,Okanogan,WA,Truck,1,0,1,16499,16500,0.01
April 30 2022,Pierce,WA,Passenger,4826,2256,7082,547654,554736,1.28
May 31 2023,Pend Oreille,WA,Passenger,30,11,41,8871,8912,0.46
July 31 2022,Whatcom,WA,Truck,11,0,11,43171,43182,0.03
March 31 2022,Garfield,WA,Truck,0,0,0,998,998,0
July 31 2023,Snohomish,WA,Truck,187,0,187,121176,121363,0.15
July 31 2022,Grays Harbor,WA,Passenger,214,162,376,48869,49245,0.76
February 28 2022,Kitsap,WA,Passenger,2229,981,3210,179167,182377,1.76
November 30 2023,Clark,WA,Passenger,6942,2601,9543,313514,323057,2.95
January 31 2022,Garfield,WA,Truck,0,0,0,994,994,0
October 31 2023,Ferry,WA,Truck,0,0,0,3534,3534,0
August 31 2023,Kitsap,WA,Passenger,3460,1359,4819,175175,179994,2.68
November 30 2022,Lincoln,WA,Passenger,12,19,31,7750,7781,0.4
November 30 2023,King,WA,Passenger,67849,16409,84258,1316660,1400918,6.01
June 30 2023,Walla Walla,WA,Truck,5,0,5,13691,13696,0.04
December 31 2022,Adams,WA,Passenger,23,11,34,12981,13015,0.26
September 30 2023,Pacific,WA,Passenger,83,97,180,15509,15689,1.15
September 30 2023,Kittitas,WA,Truck,11,0,11,14606,14617,0.08
April 30 2022,Clallam,WA,Passenger,405,241,646,49780,50426,1.28
May 31 2022,Cowlitz,WA,Truck,1,1,2,28571,28573,0.01
April 30 2022,Chelan,WA,Truck,0,0,0,23041,23041,0
May 31 2022,Clallam,WA,Passenger,411,244,655,49732,50387,1.3
June 30 2023,Skamania,WA,Passenger,108,59,167,8044,8211,2.03
April 30 2022,Adams,WA,Truck,0,0,0,5480,5480,0
January 31 2022,Mason,WA,Truck,0,0,0,21149,21149,0
April 30 2022,Thurston,WA,Passenger,2069,1014,3083,194396,197479,1.56
July 31 2023,Douglas,WA,Passenger,212,64,276,28752,29028,0.95
November 30 2023,Mason,WA,Truck,17,0,17,20491,20508,0.08
June 30 2022,Walla Walla,WA,Passenger,172,100,272,35861,36133,0.75
March 31 2023,Asotin,WA,Passenger,32,21,53,12370,12423,0.43
February 28 2022,Mason,WA,Passenger,278,163,441,47676,48117,0.92
November 30 2023,Mason,WA,Passenger,535,223,758,46163,46921,1.62
November 30 2023,Walla Walla,WA,Truck,9,0,9,13684,13693,0.07
July 31 2023,Skamania,WA,Truck,1,0,1,3844,3845,0.03
January 31 2023,Columbia,WA,Passenger,8,1,9,2430,2439,0.37
November 30 2022,Klickitat,WA,Passenger,119,53,172,15065,15237,1.13
November 30 2023,Asotin,WA,Truck,0,0,0,6613,6613,0
February 28 2022,Garfield,WA,Truck,0,0,0,997,997,0
March 31 2023,Whatcom,WA,Truck,48,0,48,42869,42917,0.11
February 28 2022,Okanogan,WA,Passenger,73,47,120,26438,26558,0.45
December 31 2023,Wahkiakum,WA,Truck,4,0,4,1750,1754,0.23
January 31 2022,Lewis,WA,Truck,0,0,0,26637,26637,0
November 30 2022,Yakima,WA,Passenger,411,217,628,166260,166888,0.38
November 30 2022,San Juan,WA,Passenger,553,168,721,13954,14675,4.91
May 31 2023,Lewis,WA,Truck,7,0,7,25998,26005,0.03
April 30 2023,Lincoln,WA,Passenger,18,17,35,7654,7689,0.46
February 28 2022,Whitman,WA,Passenger,70,56,126,21966,22092,0.57
June 30 2023,Snohomish,WA,Passenger,12642,3061,15703,527594,543297,2.89
March 31 2023,Cowlitz,WA,Passenger,434,195,629,69990,70619,0.89
December 31 2022,Grays Harbor,WA,Passenger,246,160,406,48587,48993,0.83
July 31 2022,Columbia,WA,Passenger,7,0,7,2428,2435,0.29
December 31 2022,Kittitas,WA,Truck,5,0,5,14557,14562,0.03
December 31 2023,Jefferson,WA,Truck,18,0,18,9246,9264,0.19
February 28 2022,Asotin,WA,Passenger,22,18,40,12615,12655,0.32
June 30 2022,Whatcom,WA,Passenger,1815,735,2550,148764,151314,1.69
March 31 2022,Lewis,WA,Truck,0,0,0,26505,26505,0
February 28 2023,Asotin,WA,Truck,0,0,0,6645,6645,0
September 30 2023,Clark,WA,Passenger,6545,2494,9039,313375,322414,2.8
January 31 2023,Whitman,WA,Truck,3,0,3,8628,8631,0.03
August 31 2022,Cowlitz,WA,Passenger,352,172,524,70328,70852,0.74
December 31 2023,Pacific,WA,Passenger,95,100,195,15512,15707,1.24
December 31 2022,Pend Oreille,WA,Truck,0,0,0,5580,5580,0
October 31 2023,Adams,WA,Passenger,28,13,41,13103,13144,0.31
March 31 2023,Mason,WA,Passenger,400,199,599,46365,46964,1.28
June 30 2023,Cowlitz,WA,Passenger,476,217,693,69798,70491,0.98
January 31 2023,Douglas,WA,Truck,5,0,5,12860,12865,0.04
August 31 2023,Kittitas,WA,Passenger,386,108,494,29320,29814,1.66
January 31 2023,Adams,WA,Passenger,22,11,33,12982,13015,0.25
August 31 2023,Columbia,WA,Truck,0,0,0,1548,1548,0
November 30 2023,San Juan,WA,Passenger,680,190,870,13679,14549,5.98
August 31 2022,Lewis,WA,Passenger,241,179,420,59612,60032,0.7
June 30 2022,Franklin,WA,Truck,0,0,0,20872,20872,0
June 30 2022,Pierce,WA,Truck,6,0,6,141603,141609,0
March 31 2023,Spokane,WA,Passenger,2095,1000,3095,321645,324740,0.95
October 31 2023,Clallam,WA,Passenger,635,307,942,48967,49909,1.89
July 31 2022,Mason,WA,Truck,4,0,4,20939,20943,0.02
January 31 2023,Pend Oreille,WA,Truck,0,0,0,5571,5571,0
August 31 2022,Kitsap,WA,Passenger,2520,1092,3612,177298,180910,2
December 31 2023,Adams,WA,Passenger,28,15,43,13081,13124,0.33
September 30 2022,Wahkiakum,WA,Passenger,24,12,36,3078,3114,1.16
November 30 2023,Pacific,WA,Passenger,87,102,189,15513,15702,1.2
March 31 2022,Douglas,WA,Truck,0,0,0,12718,12718,0
November 30 2023,Cowlitz,WA,Truck,13,0,13,27988,28001,0.05
March 31 2022,Grant,WA,Truck,0,0,0,28024,28024,0
May 31 2022,Grant,WA,Passenger,166,97,263,66637,66900,0.39
October 31 2022,Yakima,WA,Passenger,395,213,608,166171,166779,0.36
August 31 2022,Asotin,WA,Truck,0,0,0,6675,6675,0
October 31 2022,San Juan,WA,Truck,7,0,7,5945,5952,0.12
October 31 2022,Skagit,WA,Truck,8,0,8,32186,32194,0.02
October 31 2022,Franklin,WA,Passenger,239,112,351,61699,62050,0.57
April 30 2022,Yakima,WA,Passenger,318,183,501,167264,167765,0.3
May 31 2022,Walla Walla,WA,Truck,0,0,0,13963,13963,0
August 31 2022,Grant,WA,Truck,1,0,1,27969,27970,0
October 31 2022,Cowlitz,WA,Truck,4,0,4,28415,28419,0.01
December 31 2023,Jefferson,WA,Passenger,659,276,935,24160,25095,3.73
December 31 2023,Grant,WA,Truck,14,0,14,28074,28088,0.05
April 30 2022,Lincoln,WA,Truck,0,0,0,4847,4847,0
August 31 2023,Lewis,WA,Passenger,347,251,598,59359,59957,1
October 31 2022,Franklin,WA,Truck,2,0,2,20853,20855,0.01
December 31 2022,Pend Oreille,WA,Passenger,21,13,34,8928,8962,0.38
January 31 2022,Whitman,WA,Truck,0,0,0,8558,8558,0
April 30 2022,Lincoln,WA,Passenger,7,18,25,7659,7684,0.33
August 31 2022,Yakima,WA,Passenger,364,204,568,166332,166900,0.34
April 30 2023,Franklin,WA,Truck,4,0,4,20847,20851,0.02
April 30 2022,Lewis,WA,Passenger,230,173,403,59428,59831,0.67
September 30 2023,Whatcom,WA,Passenger,2735,965,3700,147850,151550,2.44
March 31 2023,Pend Oreille,WA,Passenger,28,13,41,8901,8942,0.46
September 30 2023,King,WA,Passenger,64232,15785,80017,1319826,1399843,5.72
August 31 2022,Skamania,WA,Truck,0,0,0,3898,3898,0
March 31 2023,Cowlitz,WA,Truck,7,0,7,28249,28256,0.02
December 31 2023,Lewis,WA,Truck,10,0,10,25727,25737,0.04
May 31 2022,Island,WA,Passenger,794,371,1165,61699,62864,1.85
June 30 2023,Skamania,WA,Truck,1,0,1,3843,3844,0.03
October 31 2023,Spokane,WA,Passenger,2674,1301,3975,322117,326092,1.22
June 30 2023,Columbia,WA,Truck,0,0,0,1545,1545,0
July 31 2022,Wahkiakum,WA,Truck,0,0,0,1799,1799,0
May 31 2023,Clallam,WA,Truck,19,0,19,21741,21760,0.09
May 31 2022,Benton,WA,Truck,2,0,2,43510,43512,0
April 30 2023,Cowlitz,WA,Passenger,434,203,637,69914,70551,0.9
February 28 2022,Columbia,WA,Passenger,6,1,7,2453,2460,0.28
April 30 2022,Snohomish,WA,Truck,4,0,4,124526,124530,0
May 31 2022,Clark,WA,Passenger,3933,1732,5665,316324,321989,1.76
April 30 2023,Okanogan,WA,Passenger,118,58,176,26064,26240,0.67
October 31 2022,Kitsap,WA,Truck,25,0,25,52998,53023,0.05
June 30 2023,Asotin,WA,Passenger,36,21,57,12361,12418,0.46
February 28 2022,Columbia,WA,Truck,0,0,0,1569,1569,0
June 30 2023,Klickitat,WA,Passenger,151,64,215,15109,15324,1.4
September 30 2023,Spokane,WA,Truck,48,0,48,101720,101768,0.05
August 31 2022,Stevens,WA,Truck,1,0,1,18875,18876,0.01
August 31 2023,Skagit,WA,Passenger,1189,435,1624,88586,90210,1.8
December 31 2023,Clark,WA,Truck,150,0,150,80874,81024,0.19
May 31 2022,Mason,WA,Passenger,302,176,478,47264,47742,1
March 31 2022,Lincoln,WA,Truck,0,0,0,4828,4828,0
December 31 2023,King,WA,Truck,1061,2,1063,172753,173816,0.61
March 31 2022,Island,WA,Truck,1,0,1,21398,21399,0
September 30 2022,San Juan,WA,Passenger,535,162,697,13983,14680,4.75
May 31 2023,Skagit,WA,Passenger,1079,404,1483,88879,90362,1.64
July 31 2023,Lewis,WA,Passenger,339,222,561,59322,59883,0.94
October 31 2023,Lewis,WA,Passenger,375,285,660,59437,60097,1.1
June 30 2022,Chelan,WA,Passenger,461,126,587,54298,54885,1.07
July 31 2023,Grant,WA,Truck,12,0,12,28051,28063,0.04
December 31 2023,Mason,WA,Truck,19,0,19,20457,20476,0.09
November 30 2022,Ferry,WA,Truck,0,0,0,3577,3577,0
January 31 2022,Kitsap,WA,Passenger,2190,969,3159,179444,182603,1.73
October 31 2023,Stevens,WA,Truck,2,0,2,18670,18672,0.01
July 31 2022,Whatcom,WA,Passenger,1865,752,2617,148539,151156,1.73
June 30 2022,Clallam,WA,Passenger,422,249,671,49728,50399,1.33
October 31 2023,Grays Harbor,WA,Passenger,352,215,567,48056,48623,1.17
August 31 2023,Stevens,WA,Truck,2,0,2,18675,18677,0.01
April 30 2022,Garfield,WA,Passenger,0,3,3,1323,1326,0.23
July 31 2022,King,WA,Passenger,41854,11436,53290,1343573,1396863,3.81
December 31 2023,Island,WA,Truck,41,0,41,20797,20838,0.2
June 30 2023,Spokane,WA,Passenger,2306,1090,3396,322110,325506,1.04
January 31 2022,Grays Harbor,WA,Truck,0,0,0,21334,21334,0
September 30 2022,Spokane,WA,Passenger,1764,886,2650,323751,326401,0.81
April 30 2022,Pierce,WA,Truck,3,0,3,142756,142759,0
June 30 2022,Garfield,WA,Truck,0,0,0,979,979,0
May 31 2022,Kittitas,WA,Passenger,247,80,327,29731,30058,1.09
June 30 2022,Grant,WA,Passenger,175,99,274,66724,66998,0.41
March 31 2022,Whatcom,WA,Truck,4,0,4,43495,43499,0.01
February 28 2023,Garfield,WA,Truck,0,0,0,976,976,0
April 30 2023,Skamania,WA,Truck,1,0,1,3851,3852,0.03
April 30 2023,Douglas,WA,Truck,7,0,7,12910,12917,0.05
July 31 2022,Kitsap,WA,Passenger,2461,1073,3534,177559,181093,1.95
June 30 2023,Adams,WA,Truck,3,0,3,5347,5350,0.06
June 30 2023,Garfield,WA,Truck,0,0,0,973,973,0
June 30 2023,San Juan,WA,Truck,11,0,11,5925,5936,0.19
July 31 2023,Ferry,WA,Passenger,21,4,25,4308,4333,0.58
May 31 2023,Walla Walla,WA,Passenger,215,114,329,35416,35745,0.92
October 31 2023,Pend Oreille,WA,Truck,0,0,0,5587,5587,0
April 30 2023,Pend Oreille,WA,Truck,0,0,0,5619,5619,0
February 28 2023,Douglas,WA,Passenger,179,58,237,28587,28824,0.82
January 31 2023,Asotin,WA,Passenger,30,20,50,12415,12465,0.4
September 30 2022,Mason,WA,Truck,4,0,4,20955,20959,0.02
August 31 2022,Jefferson,WA,Passenger,454,224,678,24470,25148,2.7
April 30 2023,Asotin,WA,Truck,0,0,0,6597,6597,0
December 31 2023,Stevens,WA,Truck,3,0,3,18679,18682,0.02
August 31 2023,Pend Oreille,WA,Truck,0,0,0,5603,5603,0
March 31 2023,Douglas,WA,Passenger,181,57,238,28634,28872,0.82
August 31 2023,Okanogan,WA,Truck,7,0,7,16379,16386,0.04
November 30 2023,Kitsap,WA,Truck,98,0,98,51905,52003,0.19
November 30 2022,Clallam,WA,Passenger,471,261,732,49358,50090,1.46
July 31 2023,Pend Oreille,WA,Truck,0,0,0,5603,5603,0
March 31 2022,Walla Walla,WA,Passenger,157,90,247,36074,36321,0.68
August 31 2023,Douglas,WA,Passenger,218,68,286,28758,29044,0.98
February 28 2023,Spokane,WA,Truck,25,0,25,101656,101681,0.02
August 31 2022,Grays Harbor,WA,Passenger,218,163,381,48774,49155,0.78
April 30 2023,Columbia,WA,Truck,0,0,0,1550,1550,0
February 28 2023,Clallam,WA,Passenger,505,272,777,49258,50035,1.55
May 31 2022,Yakima,WA,Passenger,325,189,514,166919,167433,0.31
July 31 2023,San Juan,WA,Truck,15,0,15,5936,5951,0.25
January 31 2022,Walla Walla,WA,Truck,0,0,0,14098,14098,0
June 30 2022,Klickitat,WA,Truck,0,0,0,8283,8283,0
October 31 2022,Whitman,WA,Truck,3,0,3,8589,8592,0.03
November 30 2022,Whitman,WA,Truck,3,0,3,8606,8609,0.03
July 31 2023,Ferry,WA,Truck,0,0,0,3581,3581,0
January 31 2023,Whitman,WA,Passenger,120,70,190,21917,22107,0.86
August 31 2022,Pierce,WA,Truck,34,0,34,140541,140575,0.02
March 31 2023,Clark,WA,Passenger,5289,2156,7445,313334,320779,2.32
August 31 2022,Pend Oreille,WA,Passenger,18,12,30,9001,9031,0.33
March 31 2023,Island,WA,Passenger,982,419,1401,61016,62417,2.24
October 31 2023,San Juan,WA,Passenger,663,189,852,13726,14578,5.84
August 31 2022,Whitman,WA,Passenger,94,62,156,21917,22073,0.71
September 30 2022,Walla Walla,WA,Truck,2,0,2,13932,13934,0.01
January 31 2023,Chelan,WA,Truck,15,0,15,23088,23103,0.06
April 30 2022,King,WA,Truck,26,1,27,181575,181602,0.01
June 30 2023,Clallam,WA,Truck,19,0,19,21738,21757,0.09
July 31 2022,Pacific,WA,Truck,0,0,0,7866,7866,0
December 31 2023,Ferry,WA,Passenger,24,3,27,4296,4323,0.62
September 30 2023,Grays Harbor,WA,Truck,9,0,9,20806,20815,0.04
May 31 2022,Ferry,WA,Passenger,20,4,24,4426,4450,0.54
January 31 2022,Klickitat,WA,Passenger,90,54,144,15289,15433,0.93
December 31 2022,Mason,WA,Truck,6,0,6,20819,20825,0.03
September 30 2022,Yakima,WA,Passenger,377,209,586,166309,166895,0.35
September 30 2023,Kitsap,WA,Passenger,3608,1407,5015,175151,180166,2.78
December 31 2022,Pierce,WA,Truck,82,0,82,139275,139357,0.06
May 31 2023,Cowlitz,WA,Passenger,456,206,662,69886,70548,0.94
December 31 2023,Pierce,WA,Passenger,9458,3209,12667,525359,538026,2.35
November 30 2023,Douglas,WA,Passenger,242,80,322,28847,29169,1.1
November 30 2022,San Juan,WA,Truck,7,0,7,5934,5941,0.12
July 31 2022,Wahkiakum,WA,Passenger,24,12,36,3070,3106,1.16
June 30 2023,Lincoln,WA,Truck,0,0,0,4846,4846,0
March 31 2023,Columbia,WA,Passenger,8,1,9,2406,2415,0.37
September 30 2023,Yakima,WA,Truck,15,0,15,60931,60946,0.02
November 30 2022,Walla Walla,WA,Truck,3,0,3,13899,13902,0.02
November 30 2023,Benton,WA,Truck,35,0,35,43044,43079,0.08
February 28 2022,Garfield,WA,Passenger,0,3,3,1347,1350,0.22
July 31 2023,Chelan,WA,Truck,31,0,31,23168,23199,0.13
December 31 2022,Cowlitz,WA,Passenger,405,189,594,70159,70753,0.84
October 31 2023,Chelan,WA,Passenger,708,195,903,54157,55060,1.64
March 31 2023,Okanogan,WA,Passenger,113,58,171,26058,26229,0.65
June 30 2023,Pend Oreille,WA,Passenger,30,12,42,8862,8904,0.47
August 31 2023,Lincoln,WA,Passenger,21,21,42,7614,7656,0.55
November 30 2022,Grant,WA,Passenger,221,110,331,66680,67011,0.49
October 31 2023,Lincoln,WA,Passenger,21,24,45,7595,7640,0.59
March 31 2022,Jefferson,WA,Passenger,408,208,616,24661,25277,2.44
November 30 2023,Kittitas,WA,Passenger,449,118,567,29399,29966,1.89
April 30 2023,Clallam,WA,Passenger,520,279,799,49055,49854,1.6
September 30 2023,Clark,WA,Truck,117,0,117,81192,81309,0.14
November 30 2022,Kitsap,WA,Passenger,2694,1133,3827,176739,180566,2.12
March 31 2022,Kittitas,WA,Truck,0,0,0,14721,14721,0
November 30 2023,Cowlitz,WA,Passenger,571,244,815,69685,70500,1.16
October 31 2023,Cowlitz,WA,Truck,10,0,10,27970,27980,0.04
December 31 2023,Island,WA,Passenger,1299,477,1776,60870,62646,2.83
January 31 2022,Island,WA,Passenger,733,343,1076,62294,63370,1.7
August 31 2022,Pierce,WA,Passenger,5417,2390,7807,541399,549206,1.42
February 28 2022,Cowlitz,WA,Passenger,280,168,448,71183,71631,0.63
July 31 2022,Lewis,WA,Truck,0,0,0,26319,26319,0
November 30 2022,Pacific,WA,Passenger,70,79,149,15706,15855,0.94
August 31 2023,Spokane,WA,Truck,41,0,41,101698,101739,0.04
November 30 2022,Pierce,WA,Truck,71,0,71,139627,139698,0.05
July 31 2022,Ferry,WA,Truck,0,0,0,3561,3561,0
March 31 2022,Okanogan,WA,Passenger,75,46,121,26483,26604,0.45
August 31 2022,Ferry,WA,Passenger,20,4,24,4391,4415,0.54
March 31 2023,Pacific,WA,Passenger,74,84,158,15600,15758,1
May 31 2022,Garfield,WA,Truck,0,0,0,977,977,0
November 30 2022,Snohomish,WA,Truck,78,0,78,122586,122664,0.06
January 31 2023,San Juan,WA,Passenger,570,173,743,13856,14599,5.09
July 31 2023,Grays Harbor,WA,Passenger,318,194,512,48187,48699,1.05
June 30 2023,Clark,WA,Passenger,5866,2327,8193,313347,321540,2.55
October 31 2022,Pierce,WA,Passenger,5732,2439,8171,539185,547356,1.49
November 30 2023,Spokane,WA,Passenger,2782,1346,4128,322370,326498,1.26
July 31 2023,Franklin,WA,Truck,6,0,6,20889,20895,0.03
May 31 2023,Kittitas,WA,Passenger,342,104,446,29383,29829,1.5
October 31 2023,Island,WA,Truck,34,0,34,20862,20896,0.16
May 31 2022,Okanogan,WA,Passenger,80,51,131,26373,26504,0.49
May 31 2023,Clallam,WA,Passenger,537,281,818,48943,49761,1.64
July 31 2023,Columbia,WA,Truck,0,0,0,1543,1543,0
November 30 2022,Whatcom,WA,Passenger,2056,797,2853,148545,151398,1.88
March 31 2022,Whatcom,WA,Passenger,1736,694,2430,149012,151442,1.6
November 30 2022,Kittitas,WA,Truck,5,0,5,14566,14571,0.03
August 31 2023,Mason,WA,Passenger,482,213,695,46131,46826,1.48
June 30 2022,Garfield,WA,Passenger,0,3,3,1313,1316,0.23
February 28 2023,Yakima,WA,Truck,9,0,9,61121,61130,0.01
March 31 2023,Lewis,WA,Passenger,295,195,490,58684,59174,0.83
October 31 2022,Snohomish,WA,Passenger,9421,2666,12087,530053,542140,2.23
December 31 2022,Pierce,WA,Passenger,6146,2502,8648,537238,545886,1.58
September 30 2023,Jefferson,WA,Passenger,607,269,876,24176,25052,3.5
October 31 2022,Okanogan,WA,Passenger,94,49,143,26233,26376,0.54
January 31 2022,Lincoln,WA,Passenger,6,17,23,7729,7752,0.3
September 30 2022,Island,WA,Truck,9,0,9,21201,21210,0.04
March 31 2022,Ferry,WA,Truck,0,0,0,3567,3567,0
November 30 2023,Garfield,WA,Passenger,0,3,3,1295,1298,0.23
November 30 2023,Lewis,WA,Passenger,388,293,681,59484,60165,1.13
February 28 2022,Skamania,WA,Passenger,59,45,104,8285,8389,1.24
November 30 2022,Whatcom,WA,Truck,21,0,21,43035,43056,0.05
November 30 2023,Whitman,WA,Passenger,190,101,291,21956,22247,1.31
May 31 2023,Skamania,WA,Passenger,103,58,161,8046,8207,1.96
October 31 2022,Whitman,WA,Passenger,103,65,168,21882,22050,0.76
October 31 2023,Jefferson,WA,Passenger,619,267,886,24148,25034,3.54
June 30 2023,Lewis,WA,Truck,7,0,7,25988,25995,0.03
July 31 2022,Yakima,WA,Truck,1,0,1,61293,61294,0
April 30 2023,Jefferson,WA,Passenger,533,253,786,24222,25008,3.14
January 31 2022,Walla Walla,WA,Passenger,146,88,234,36244,36478,0.64
August 31 2023,Chelan,WA,Passenger,670,173,843,54186,55029,1.53
October 31 2023,Walla Walla,WA,Passenger,254,129,383,35413,35796,1.07
February 28 2022,Stevens,WA,Truck,0,0,0,18950,18950,0
May 31 2022,Okanogan,WA,Truck,0,0,0,16647,16647,0
September 30 2022,Columbia,WA,Passenger,8,0,8,2436,2444,0.33
August 31 2023,Ferry,WA,Truck,0,0,0,3556,3556,0
September 30 2023,Lincoln,WA,Truck,0,0,0,4827,4827,0
July 31 2022,Clallam,WA,Passenger,433,246,679,49598,50277,1.35
July 31 2022,Spokane,WA,Passenger,1671,861,2532,323928,326460,0.78
November 30 2023,Garfield,WA,Truck,0,0,0,977,977,0
December 31 2023,Cowlitz,WA,Passenger,595,247,842,69695,70537,1.19
May 31 2023,Chelan,WA,Truck,29,0,29,23116,23145,0.13
October 31 2022,Pend Oreille,WA,Truck,0,0,0,5609,5609,0
December 31 2022,Lincoln,WA,Truck,0,0,0,4833,4833,0
August 31 2023,Adams,WA,Passenger,24,13,37,13072,13109,0.28
September 30 2022,Clallam,WA,Passenger,443,249,692,49414,50106,1.38
November 30 2022,Whitman,WA,Passenger,109,65,174,21892,22066,0.79
February 28 2023,San Juan,WA,Passenger,577,172,749,13864,14613,5.13
December 31 2022,Skagit,WA,Passenger,920,356,1276,89246,90522,1.41
August 31 2022,Pacific,WA,Passenger,70,72,142,15751,15893,0.89
September 30 2023,Whitman,WA,Truck,5,0,5,8663,8668,0.06
January 31 2022,Spokane,WA,Passenger,1346,764,2110,326117,328227,0.64
July 31 2022,Klickitat,WA,Passenger,105,56,161,15164,15325,1.05
March 31 2023,Mason,WA,Truck,11,0,11,20806,20817,0.05
January 31 2022,Chelan,WA,Truck,0,0,0,23038,23038,0
July 31 2023,Cowlitz,WA,Truck,10,0,10,28168,28178,0.04
February 28 2023,Pierce,WA,Truck,111,0,111,138401,138512,0.08
December 31 2022,Whitman,WA,Truck,3,0,3,8638,8641,0.03
May 31 2022,Columbia,WA,Truck,0,0,0,1579,1579,0
January 31 2022,Spokane,WA,Truck,0,0,0,102510,102510,0
October 31 2022,Asotin,WA,Truck,0,0,0,6670,6670,0
October 31 2022,Wahkiakum,WA,Truck,1,0,1,1798,1799,0.06
November 30 2022,Yakima,WA,Truck,6,0,6,61178,61184,0.01
December 31 2022,Okanogan,WA,Truck,2,0,2,16421,16423,0.01
May 31 2022,Kittitas,WA,Truck,1,0,1,14674,14675,0.01
May 31 2023,Okanogan,WA,Truck,7,0,7,16466,16473,0.04
December 31 2022,Lewis,WA,Truck,1,0,1,26258,26259,0
February 28 2022,Clark,WA,Passenger,3627,1596,5223,318735,323958,1.61
March 31 2022,Yakima,WA,Truck,0,0,0,61556,61556,0
December 31 2022,Stevens,WA,Passenger,90,55,145,29888,30033,0.48
July 31 2022,Stevens,WA,Truck,1,0,1,18871,18872,0.01
June 30 2023,Kitsap,WA,Truck,76,0,76,52231,52307,0.15
June 30 2022,Whitman,WA,Passenger,87,60,147,21945,22092,0.67
October 31 2023,Skamania,WA,Passenger,129,55,184,8037,8221,2.24
January 31 2022,Benton,WA,Truck,0,0,0,43575,43575,0
